text,text_lower,lemma,lemma_lower,part_of_speech,is_alphabet,is_stopword
19627,19627,19627,19627,,False,False
forestier,forestier,forestier,forestier,,True,False
",",",",",",",",,False,False
cât,cât,cât,cât,,True,True
",",",",",",",",,False,False
art,art,art,art,,True,False
.,.,.,.,,False,False
1,1,1,1,,False,False
",",",",",",",",,False,False
stabilindu-,stabilindu-,stabilindu-,stabilindu-,,False,False
.,.,.,.,,False,False
Prin,prin,Prin,prin,,True,True
Legea,legea,Legea,legea,,True,False
18/19918,18/19918,18/19918,18/19918,,False,False
s,s,s,s,,True,True
-,-,-,-,,False,False
a,a,a,a,,True,True
stabilit,stabilit,stabilit,stabilit,,True,False
retrocedarea,retrocedarea,retrocedarea,retrocedarea,,True,False
",",",",",",",",,False,False
dar,dar,dar,dar,,True,True
",",",",",",",",,False,False
în,în,în,în,,True,True
limita,limita,limita,limita,,True,False
30,30,30,30,,False,False
de,de,de,de,,True,True
hectare,hectare,hectare,hectare,,True,False
.,.,.,.,,False,False
Ulterior,ulterior,Ulterior,ulterior,,True,False
",",",",",",",",,False,False
acest,acest,acest,acest,,True,True
act,act,act,act,,True,False
normativ,normativ,normativ,normativ,,True,False
a,a,a,a,,True,True
fost,fost,fost,fost,,True,True
completat,completat,completat,completat,,True,False
prin,prin,prin,prin,,True,True
Legea,legea,Legea,legea,,True,False
1/20009,1/20009,1/20009,1/20009,,False,False
",",",",",",",",,False,False
care,care,care,care,,True,True
permite,permite,permite,permite,,True,False
reconstituirea,reconstituirea,reconstituirea,reconstituirea,,True,False
dreptului,dreptului,dreptului,dreptului,,True,False
de,de,de,de,,True,True
proprietate,proprietate,proprietate,proprietate,,True,False
asupra,asupra,asupra,asupra,,True,True
terenurilor,terenurilor,terenurilor,terenurilor,,True,False
forestiere,forestiere,forestiere,forestiere,,True,False
pe,pe,pe,pe,,True,True
vechile,vechile,vechile,vechile,,True,False
amplasamente,amplasamente,amplasamente,amplasamente,,True,False
",",",",",",",",,False,False
în,în,în,în,,True,True
limita,limita,limita,limita,,True,False
a,a,a,a,,True,True
maxim,maxim,maxim,maxim,,True,False
10,10,10,10,,False,False
hectare,hectare,hectare,hectare,,True,False
.,.,.,.,,False,False
Prin,prin,Prin,prin,,True,True
Legea,legea,Legea,legea,,True,False
247/200510,247/200510,247/200510,247/200510,,False,False
punere,punere,punere,punere,,True,False
în,în,în,în,,True,True
posesie,posesie,posesie,posesie,,True,False
.,.,.,.,,False,False
Codul,codul,Codul,codul,,True,False
Silvic,silvic,Silvic,silvic,,True,False
din,din,din,din,,True,True
199611,199611,199611,199611,,False,False
",",",",",",",",,False,False
Art,art,Art,art,,True,False
.,.,.,.,,False,False
1,1,1,1,,False,False
al,al,al,al,,True,True
indiferent,indiferent,indiferent,indiferent,,True,False
de,de,de,de,,True,True
natura,natura,natura,natura,,True,False
dreptului,dreptului,dreptului,dreptului,,True,False
de,de,de,de,,True,True
proprietatelui,proprietatelui,proprietatelui,proprietatelui,,True,False
forestier,forestier,forestier,forestier,,True,False
.,.,.,.,,False,False
Codul,codul,Codul,codul,,True,False
Silvic,silvic,Silvic,silvic,,True,False
din,din,din,din,,True,True
200812,200812,200812,200812,,False,False
(,(,(,(,,False,False
aprobat,aprobat,aprobat,aprobat,,True,False
prin,prin,prin,prin,,True,True
Legea,legea,Legea,legea,,True,False
46/2008,46/2008,46/2008,46/2008,,False,False
),),),),,False,False
Prin,prin,Prin,prin,,True,True
intrarea,intrarea,intrarea,intrarea,,True,False
în,în,în,în,,True,True
vigoare,vigoare,vigoare,vigoare,,True,False
a,a,a,a,,True,True
noului,noului,noului,noului,,True,False
cod,cod,cod,cod,,True,False
silvic,silvic,silvic,silvic,,True,False
(,(,(,(,,False,False
denumit,denumit,denumit,denumit,,True,False
",",",",",",",",,False,False
în,în,în,în,,True,True
continuare,continuare,continuare,continuare,,True,False
",",",",",",",",,False,False
